review_id,title,body,rating,date,verified,helpful_votes
R1,Perfect Product,The food gets fried evenly,4,6/12/24,TRUE,18
R2,Hard to clean,"Whatever I fry in this air fryer, it gets stuck on the container, and becomes very hard to wash it off",2,1/20/25,TRUE,45
R3,Difficult to remove stains,"Just after using this product 2 times, the container got stained badly",1,2/10/25,FALSE,37
R4,Long Lasting,I have been using this product for over an year now. Still works perfectly,5,4/5/23,TRUE,24
R5,Good Quality,"Its been 6 months, and still the product works as promised",5,6/23/24,TRUE,26
R6,Easy cleanup,"Removable crumb tray makes wiping out grease much easier",4,7/15/24,TRUE,14
R7,Basket peeling,"Nonstick basket started peeling after 5 months of use",2,9/1/24,FALSE,22
R8,Timer helps,"Timer is loud and shuts off the heater automatically",5,11/11/24,TRUE,16
R9,Small capacity,"Good for 1-2 servings; cramped for family meals",3,12/2/24,FALSE,8
R10,No preheat alert,"Wish it had a preheat chime; there is none",3,1/28/25,TRUE,11
R11,Auto-shutoff glitch,"One time the heater stayed on after the timer ended; unplugging fixed it",2,2/15/25,TRUE,12
R12,Smoky,"Smokes when cooking bacon; had to open windows",2,8/8/24,FALSE,9
R13,Helpful booklet,"Recipe booklet that comes with it is handy for quick snacks",4,7/1/24,TRUE,5
R14,Fast heat,"Preheats in under 3 minutes; no dedicated alert sound",4,5/5/24,TRUE,4
R15,Loud fan,"Fan is loud on max; acceptable on medium",3,11/2/24,FALSE,7
R16,Good for couples,"Perfect size for two portions; too small for batch cooking",4,10/10/24,TRUE,8
