review_id,title,body,rating,date,verified,helpful_votes
R1,Great so far,Coating lasted 6 months with daily use,4,6/12/24,TRUE,18
R2,Peeling,Non-stick wore off in 3 months,2,11/20/24,TRUE,45
R3,Solid,"After a year, still slick if hand-washed",5,2/10/25,FALSE,7
R4,Quick wear,"Coating scratched after 2 weeks using a nylon spatula",1,3/18/25,TRUE,12
R5,Heats evenly,"Heats evenly; avoided dishwasher and non-stick is fine after 8 months",4,8/30/24,FALSE,9
R6,Lightweight,"Lightweight with comfy handle, but slight warping on induction after 4 months",3,10/15/24,TRUE,15
R7,Responsive support,"Coating chipped at 5 months; support sent replacement that is fine after 2 months",4,1/5/25,TRUE,5
R8,Dishwasher damage,"Ran through dishwasher twice; coating dulled and started sticking after a month",2,3/2/24,TRUE,19
R9,Long-term okay,"Still slick after 14 months of hand-washing; no chips",5,4/30/25,TRUE,10
R10,Heavy but steady,"Heavier base gives even heat; handle stays cool",4,9/12/24,FALSE,6
R11,Loose handle,"Handle loosened after 5 months; needed to retighten screws",3,12/22/24,TRUE,13
